rating,title,text,date
5,Excellent App,Very easy to use and intuitive interface for trading.,2026-04-20
4,Good for beginners,Great app for mutual funds and stocks. Smooth experience.,2026-04-18
3,Average experience,App keeps lagging during market hours. Need performance improvements.,2026-04-15
5,Best in market,Low brokerage and fast account opening. Highly recommended.,2026-04-12
2,Technical issues,Unable to login frequently. Very frustrated with the support team.,2026-04-10
5,Smooth UI,I love the clean design and the ease of buying stocks.,2026-04-05
1,Bad support,My query is not resolved for a week. Support is pathetic.,2026-04-02
4,Value for money,Good platform for long term investing. Feature set is comprehensive.,2026-03-28
3,Decent,It is okay but some features are hidden deep in the menu.,2026-03-25
5,User-friendly,Best app for investment in India. Seamless UPI integration.,2026-03-20
